dolum_id,dolum_baslangic,dolum_bitis,istasyon_kodu,tank_no,akaryakit_turu,dolum_oncesi_hacim,dolum_sonrasi_hacim,dolum_brut,dolum_net,sicaklik,merkeze_gelis_tarihi
16,2026-01-09 10:08:00,2026-01-09 10:16:00,IST_001,5,Motorin(Excellium),7187.18,17152.2,10056.26,9965.02,25.8,
17,2026-01-10 15:10:00,2026-01-10 15:15:00,IST_001,4,KB 95 Oktan Excellium,3708.92,12960.86,9385.92,9251.94,26.9,2026-01-10 16:30:00
18,2026-01-11 02:07:00,2026-01-11 02:15:00,IST_001,1,Motorin(Excellium),4480.97,13784.25,9395.26,9303.28,26.66,2026-01-11 06:30:00
19,2026-01-11 10:36:00,2026-01-11 10:55:00,IST_001,5,Motorin(Excellium),6243.03,11192.21,4997.6,4949.18,26.53,2026-01-11 17:00:00
20,2026-01-11 12:38:00,2026-01-11 12:46:00,IST_001,2,KB 95 Oktan Excellium,1425.26,5868.81,4502.38,4443.55,25.89,2026-01-11 19:00:00
21,2026-01-12 11:06:00,2026-01-12 11:17:00,IST_001,3,Motorin(Excellium),1685.55,8243.36,6629.87,6557.81,27.94,2026-01-12 18:30:00
22,2026-01-12 15:09:00,2026-01-12 15:23:00,IST_001,5,Motorin(Excellium),4780.33,9565.28,4831.77,4784.95,26.54,2026-01-12 22:30:00
23,2026-01-13 10:08:00,2026-01-13 10:28:00,IST_001,1,Motorin(Excellium),4069.49,11666.18,7631.73,7596.69,20.47,2026-01-13 13:30:00
24,2026-01-13 15:40:00,2026-01-13 15:53:00,IST_001,4,KB 95 Oktan Excellium,4362.66,9065.08,4780.0,4702.42,28.52,2026-01-13 23:00:00
25,2026-01-13 16:07:00,2026-01-13 16:16:00,IST_001,5,Motorin(Excellium),3243.55,7894.51,4701.25,4650.96,27.74,2026-01-13 18:30:00
26,2026-01-14 00:07:00,2026-01-14 00:26:00,IST_001,5,Motorin(Excellium),,10350.36,4749.66,4707.21,25.64,2026-01-14 04:30:00
27,2026-01-14 20:00:00,2026-01-14 20:21:00,IST_001,5,Motorin(Excellium),5837.89,13655.89,7861.91,7818.0,21.65,2026-01-14 22:30:00
28,2026-01-15 00:39:00,2026-01-15 00:54:00,IST_001,1,Motorin(Excellium),4468.25,12275.65,7876.27,7807.4,,2026-01-15 08:00:00
29,2026-01-15 10:11:00,2026-01-15 10:27:00,IST_001,2,KB 95 Oktan Excellium,1571.2,6098.99,4557.12,4527.79,20.36,2026-01-15 14:30:00
30,2026-01-15 12:09:00,2026-01-15 12:22:00,IST_001,4,KB 95 Oktan Excellium,4371.88,9212.01,4908.62,4840.13,26.63,2026-01-15 18:30:00
31,2026-01-16 14:00:00,2026-01-16 14:28:00,IST_001,5,Motorin(Excellium),5188.39,12964.83,7861.81,7776.44,27.93,2026-01-16 21:30:00
32,2026-01-16 22:34:00,2026-01-16 22:45:00,IST_001,3,Motorin(Excellium),2239.1,7085.48,4906.9,4846.38,29.68,
33,2026-01-17 11:00:00,2026-01-17 11:22:00,IST_001,1,Motorin(Excellium),3599.4,11009.99,7472.3,7410.59,24.83,2026-01-17 16:30:00
34,2026-01-17 16:02:00,2026-01-17 16:27:00,IST_001,4,KB 95 Oktan Excellium,3545.73,13250.03,9880.68,9704.3,29.88,
35,2026-01-17 16:09:00,2026-01-17 16:20:00,IST_001,5,Motorin(Excellium),6289.33,16143.15,9952.12,9853.82,26.76,2026-01-17 22:30:00
36,2026-01-18 20:40:00,2026-01-18 20:46:00,IST_001,1,Motorin(Excellium),4900.34,12394.5,7559.22,7494.16,25.25,2026-01-18 22:00:00
37,2026-01-19 10:07:00,2026-01-19 10:24:00,IST_001,5,Motorin(Excellium),7001.01,16809.05,9862.75,9808.04,21.6,2026-01-19 17:30:00
38,2026-01-19 11:37:00,2026-01-19 11:58:00,IST_001,2,KB 95 Oktan Excellium,1716.87,6070.62,4409.98,4353.75,25.63,2026-01-19 17:00:00
39,2026-01-19 21:30:00,2026-01-19 21:53:00,IST_001,3,Motorin(Excellium),2423.85,8527.12,6169.63,6103.27,27.8,2026-01-20 04:00:00
40,2026-01-20 15:01:00,2026-01-20 15:24:00,IST_001,1,Motorin(Excellium),5012.62,12393.26,7438.62,7380.64,24.28,2026-01-20 19:30:00
41,2026-01-20 16:09:00,2026-01-20 16:27:00,IST_001,4,KB 95 Oktan Excellium,4635.59,16762.76,12270.64,12127.17,24.74,2026-01-20 22:30:00
42,2026-01-21 14:41:00,2026-01-21 14:48:00,IST_001,5,Motorin(Excellium),5406.84,18246.02,12973.27,12839.18,27.3,2026-01-21 16:00:00
43,2026-01-21 20:07:00,2026-01-21 20:15:00,IST_001,1,Motorin(Excellium),5028.16,9956.36,4991.19,4928.2,30.02,2026-01-21 21:30:00
44,2026-01-23 10:35:00,2026-01-23 10:47:00,IST_001,2,KB 95 Oktan Excellium,1417.13,6018.51,4638.82,4601.38,21.73,2026-01-23 13:00:00
45,2026-01-23 15:36:00,2026-01-23 15:58:00,IST_001,1,Motorin(Excellium),3655.39,11543.36,7974.71,7887.97,27.95,2026-01-23 20:00:00
46,2026-01-23 18:39:00,2026-01-23 18:56:00,IST_001,5,Motorin(Excellium),7437.94,17228.44,9894.37,9790.5,,2026-01-23 20:00:00
47,2026-01-24 13:07:00,2026-01-24 13:22:00,IST_001,3,Motorin(Excellium),,7507.48,4968.59,4927.07,24.95,2026-01-24 20:30:00
48,2026-01-24 22:33:00,2026-01-24 22:50:00,IST_001,1,Motorin(Excellium),4938.09,14469.36,9630.67,9531.27,27.29,2026-01-25 01:00:00
49,2026-01-25 15:02:00,2026-01-25 15:23:00,IST_001,5,Motorin(Excellium),6987.0,11693.52,4742.51,4706.52,24.03,
50,2026-01-25 17:34:00,2026-01-25 17:53:00,IST_001,4,KB 95 Oktan Excellium,3254.13,12762.11,9601.25,9507.98,23.1,
51,2026-01-26 10:38:00,2026-01-26 10:46:00,IST_001,5,Motorin(Excellium),6321.65,18549.81,12368.43,12228.16,28.5,
52,2026-01-26 23:40:00,2026-01-26 23:47:00,IST_001,2,KB 95 Oktan Excellium,1748.43,5953.37,4251.3,4204.94,24.09,2026-01-27 06:00:00
53,2026-01-27 16:30:00,2026-01-27 16:58:00,IST_001,1,Motorin(Excellium),3468.65,16243.32,12886.71,12774.67,25.35,
54,2026-01-28 10:41:00,2026-01-28 10:53:00,IST_001,4,KB 95 Oktan Excellium,5131.1,12710.1,7683.91,7579.0,26.38,2026-01-28 14:00:00
55,2026-01-28 10:41:00,2026-01-28 10:56:00,IST_001,5,Motorin(Excellium),7531.81,20504.28,13035.05,12972.47,20.72,2026-01-28 18:00:00
56,2026-01-28 16:33:00,2026-01-28 16:56:00,IST_001,3,Motorin(Excellium),2074.0,8269.94,6277.24,6195.94,30.42,2026-01-28 21:00:00
57,2026-01-30 15:35:00,2026-01-30 15:57:00,IST_001,1,Motorin(Excellium),3506.75,15685.09,12328.31,12178.34,29.48,2026-01-30 22:00:00
58,2026-01-30 18:33:00,2026-01-30 18:52:00,IST_001,2,KB 95 Oktan Excellium,1473.78,5732.0,4324.16,4258.22,27.71,2026-01-30 23:00:00
59,2026-01-30 21:10:00,2026-01-30 21:20:00,IST_001,5,Motorin(Excellium),6143.63,15755.38,9708.31,9611.75,26.84,2026-01-30 22:30:00
60,2026-01-31 12:30:00,2026-01-31 12:56:00,IST_001,4,KB 95 Oktan Excellium,4067.55,16751.14,12776.42,12683.59,21.05,2026-01-31 18:00:00
61,2026-01-31 23:05:00,2026-01-31 23:25:00,IST_001,3,Motorin(Excellium),2085.19,6941.3,4912.54,4856.11,28.67,2026-02-01 03:30:00
62,2026-02-01 12:08:00,2026-02-01 12:18:00,IST_001,5,Motorin(Excellium),7490.12,15089.57,7647.93,7599.45,22.55,2026-02-01 17:30:00
63,2026-02-01 18:10:00,2026-02-01 18:20:00,IST_001,1,Motorin(Excellium),5096.14,10067.9,5012.02,4971.76,24.56,2026-02-01 23:30:00
64,2026-02-02 20:10:00,2026-02-02 20:15:00,IST_001,5,Motorin(Excellium),5725.58,18358.2,12752.71,12632.62,,2026-02-03 01:30:00
65,2026-02-02 21:05:00,2026-02-02 21:27:00,IST_001,1,Motorin(Excellium),4259.66,12163.5,7961.56,7903.84,23.63,2026-02-03 02:30:00
66,2026-02-03 13:37:00,2026-02-03 13:50:00,IST_001,3,Motorin(Excellium),2547.47,7447.71,4952.44,4900.24,27.55,2026-02-03 20:00:00
67,2026-02-03 14:05:00,2026-02-03 14:22:00,IST_001,2,KB 95 Oktan Excellium,,5879.49,4556.68,4479.31,29.15,2026-02-03 18:30:00
68,2026-02-04 14:30:00,2026-02-04 14:54:00,IST_001,1,Motorin(Excellium),5481.77,14686.19,9304.23,9204.42,,2026-02-04 17:00:00
69,2026-02-04 16:03:00,2026-02-04 16:17:00,IST_001,4,KB 95 Oktan Excellium,5199.58,14865.87,9790.81,9666.29,25.6,2026-02-04 21:30:00
70,2026-02-04 16:35:00,2026-02-04 16:49:00,IST_001,5,Motorin(Excellium),7251.84,16898.77,9713.1,9646.93,23.11,2026-02-04 19:00:00
71,2026-02-06 12:04:00,2026-02-06 12:17:00,IST_001,5,Motorin(Excellium),,12404.3,4692.54,4647.23,26.49,2026-02-06 19:30:00
72,2026-02-06 15:39:00,2026-02-06 15:45:00,IST_001,1,Motorin(Excellium),,14306.58,9674.95,9587.0,25.82,2026-02-06 20:00:00
73,2026-02-06 19:30:00,2026-02-06 19:48:00,IST_001,2,KB 95 Oktan Excellium,1411.02,5625.83,4276.9,4214.81,27.1,2026-02-07 00:00:00
74,2026-02-07 12:04:00,2026-02-07 12:21:00,IST_001,5,Motorin(Excellium),7028.9,14499.61,7538.46,7470.71,25.7,2026-02-07 13:30:00
75,2026-02-07 16:05:00,2026-02-07 16:28:00,IST_001,3,Motorin(Excellium),1740.4,8029.81,6357.72,6289.41,27.79,2026-02-07 21:30:00
76,2026-02-08 15:00:00,2026-02-08 15:15:00,IST_001,4,KB 95 Oktan Excellium,,8447.56,4873.01,4836.67,21.21,2026-02-08 16:30:00
77,2026-02-08 15:39:00,2026-02-08 15:56:00,IST_001,1,Motorin(Excellium),4363.04,12029.28,7749.17,7666.24,,2026-02-08 23:00:00
78,2026-02-08 18:39:00,2026-02-08 18:46:00,IST_001,5,Motorin(Excellium),7093.54,19054.02,12087.2,11960.48,27.48,2026-02-08 21:00:00
79,2026-02-09 17:07:00,2026-02-09 17:20:00,IST_001,4,KB 95 Oktan Excellium,4733.67,12453.71,7857.08,7720.04,,2026-02-09 19:30:00
80,2026-02-10 10:11:00,2026-02-10 10:25:00,IST_001,1,Motorin(Excellium),3672.95,8581.64,4952.16,4908.69,25.45,
81,2026-02-10 19:40:00,2026-02-10 19:45:00,IST_001,2,KB 95 Oktan Excellium,1384.65,5600.37,4277.78,4215.72,27.09,
82,2026-02-11 10:03:00,2026-02-11 10:25:00,IST_001,3,Motorin(Excellium),2489.59,7207.0,4730.26,4717.41,18.23,2026-02-11 13:30:00
83,2026-02-11 10:10:00,2026-02-11 10:16:00,IST_001,5,Motorin(Excellium),5640.43,10370.33,4772.49,4729.9,25.63,
84,2026-02-11 11:04:00,2026-02-11 11:24:00,IST_001,1,Motorin(Excellium),3806.69,11302.87,7564.51,7496.18,25.75,2026-02-11 17:30:00
85,2026-02-12 01:09:00,2026-02-12 01:28:00,IST_001,5,Motorin(Excellium),5534.57,13065.32,7588.96,7530.75,24.13,2026-02-12 05:30:00
86,2026-02-12 12:09:00,2026-02-12 12:15:00,IST_001,4,KB 95 Oktan Excellium,4864.45,16899.78,12097.61,12035.33,19.29,2026-02-12 15:30:00
87,2026-02-12 22:31:00,2026-02-12 22:57:00,IST_001,1,Motorin(Excellium),4787.88,17077.44,12344.93,12289.56,20.34,2026-02-13 02:00:00
88,2026-02-13 10:10:00,2026-02-13 10:16:00,IST_001,5,Motorin(Excellium),6707.07,14407.21,7766.81,7700.14,25.22,2026-02-13 16:30:00
89,2026-02-14 13:03:00,2026-02-14 13:21:00,IST_001,2,KB 95 Oktan Excellium,,5924.84,4274.05,4221.22,25.3,2026-02-14 17:30:00
90,2026-02-15 00:37:00,2026-02-15 00:57:00,IST_001,3,Motorin(Excellium),2337.59,7337.06,5050.07,4999.47,26.93,2026-02-15 04:00:00
91,2026-02-15 01:10:00,2026-02-15 01:17:00,IST_001,5,Motorin(Excellium),,18778.2,13096.0,12963.08,,
92,2026-02-15 18:03:00,2026-02-15 18:17:00,IST_001,1,Motorin(Excellium),,12748.65,7935.38,7900.95,20.17,2026-02-15 23:30:00
93,2026-02-16 14:30:00,2026-02-16 14:47:00,IST_001,4,KB 95 Oktan Excellium,4994.28,9901.81,4932.31,4907.53,19.19,2026-02-16 20:00:00
94,2026-02-17 11:05:00,2026-02-17 11:21:00,IST_001,5,Motorin(Excellium),5826.49,10510.82,4725.7,4684.33,25.42,
95,2026-02-17 12:40:00,2026-02-17 12:50:00,IST_001,1,Motorin(Excellium),5108.11,12641.23,7558.92,7533.12,19.06,2026-02-17 20:00:00
96,2026-02-18 11:03:00,2026-02-18 11:21:00,IST_001,4,KB 95 Oktan Excellium,3389.3,8261.72,4928.28,4872.42,24.45,2026-02-18 14:30:00
97,2026-02-18 13:01:00,2026-02-18 13:19:00,IST_001,5,Motorin(Excellium),3240.88,10829.12,7644.44,7588.24,23.75,2026-02-18 18:30:00
98,2026-02-18 13:38:00,2026-02-18 13:53:00,IST_001,2,KB 95 Oktan Excellium,1804.41,6027.71,4275.02,4223.3,25.08,2026-02-18 17:00:00
99,2026-02-18 16:38:00,2026-02-18 16:53:00,IST_001,3,Motorin(Excellium),2679.2,7624.36,4984.25,4945.16,24.34,2026-02-19 00:00:00
100,2026-02-19 02:39:00,2026-02-19 02:53:00,IST_001,1,Motorin(Excellium),4511.98,12314.65,7859.12,7802.67,23.55,2026-02-19 05:00:00
101,2026-02-19 13:10:00,2026-02-19 13:17:00,IST_001,5,Motorin(Excellium),5500.62,15128.52,9663.34,9627.9,19.37,2026-02-19 14:30:00
102,2026-02-19 17:32:00,2026-02-19 17:55:00,IST_001,4,KB 95 Oktan Excellium,4930.52,12923.43,8038.27,7992.91,19.7,2026-02-19 21:00:00
103,2026-02-20 14:04:00,2026-02-20 14:20:00,IST_001,1,Motorin(Excellium),5525.37,15449.45,9999.53,9924.08,23.98,2026-02-20 15:30:00
104,2026-02-20 19:37:00,2026-02-20 19:58:00,IST_001,5,Motorin(Excellium),6478.05,13882.49,7459.48,7404.44,23.78,2026-02-20 22:00:00
105,2026-02-22 02:02:00,2026-02-22 02:27:00,IST_001,5,Motorin(Excellium),6776.1,19315.26,12567.43,12539.16,17.68,2026-02-22 05:30:00
106,2026-02-22 13:06:00,2026-02-22 13:19:00,IST_001,4,KB 95 Oktan Excellium,,11663.0,7542.4,7494.62,20.28,2026-02-22 14:30:00
107,2026-02-22 16:04:00,2026-02-22 16:19:00,IST_001,3,Motorin(Excellium),1346.22,6240.45,4920.97,4894.23,21.47,2026-02-22 21:30:00
108,2026-02-22 21:30:00,2026-02-22 21:56:00,IST_001,2,KB 95 Oktan Excellium,1375.76,5623.54,4303.71,4247.78,25.83,
109,2026-02-22 22:06:00,2026-02-22 22:26:00,IST_001,1,Motorin(Excellium),3968.46,16256.5,12398.08,12288.04,25.57,2026-02-23 00:30:00
110,2026-02-24 16:10:00,2026-02-24 16:21:00,IST_001,5,Motorin(Excellium),5370.69,15109.85,9836.55,9739.16,26.79,2026-02-24 23:30:00
111,2026-02-25 11:35:00,2026-02-25 11:57:00,IST_001,3,Motorin(Excellium),1912.34,6666.07,4780.67,4753.73,21.71,2026-02-25 16:00:00
112,2026-02-25 14:09:00,2026-02-25 14:19:00,IST_001,1,Motorin(Excellium),5081.74,12765.27,7703.33,7683.53,18.06,
113,2026-02-25 16:02:00,2026-02-25 16:22:00,IST_001,4,KB 95 Oktan Excellium,3514.56,13223.38,9816.79,9708.82,24.17,2026-02-25 21:30:00
114,2026-02-26 14:08:00,2026-02-26 14:22:00,IST_001,2,KB 95 Oktan Excellium,,5736.79,4874.05,4813.95,25.28,2026-02-26 20:30:00
115,2026-02-26 14:02:00,2026-02-26 14:24:00,IST_001,5,Motorin(Excellium),4766.36,17074.17,12416.9,12307.81,25.46,2026-02-26 20:30:00
116,2026-02-27 15:04:00,2026-02-27 15:15:00,IST_001,1,Motorin(Excellium),3622.29,11594.32,8025.27,7972.03,22.9,2026-02-27 22:30:00
117,2026-02-28 11:33:00,2026-02-28 11:47:00,IST_001,5,Motorin(Excellium),7016.66,19886.06,12953.29,12869.4,22.71,2026-02-28 15:00:00
118,2026-02-28 12:40:00,2026-02-28 12:52:00,IST_001,4,KB 95 Oktan Excellium,4261.84,9061.01,4859.33,4799.17,25.32,2026-02-28 16:00:00
119,2026-02-28 16:05:00,2026-02-28 16:19:00,IST_001,3,Motorin(Excellium),1598.89,6469.83,4885.08,4870.94,,2026-02-28 17:30:00
120,2026-02-28 19:04:00,2026-02-28 19:23:00,IST_001,1,Motorin(Excellium),5415.56,18146.72,12838.9,12731.16,24.99,2026-02-28 22:30:00
121,2026-03-01 18:30:00,2026-03-01 18:57:00,IST_001,4,KB 95 Oktan Excellium,4836.62,12708.79,7969.08,7872.17,25.13,2026-03-02 01:00:00
122,2026-03-02 00:10:00,2026-03-02 00:24:00,IST_001,2,KB 95 Oktan Excellium,1510.74,5734.25,4265.36,4223.51,23.18,2026-03-02 03:30:00
123,2026-03-02 21:01:00,2026-03-02 21:28:00,IST_001,5,Motorin(Excellium),7092.73,14878.03,7851.17,7785.3,24.99,2026-03-03 00:30:00
124,2026-03-03 13:02:00,2026-03-03 13:21:00,IST_001,3,Motorin(Excellium),2247.0,8428.35,6191.22,6181.35,16.9,2026-03-03 20:30:00
125,2026-03-03 20:36:00,2026-03-03 20:57:00,IST_001,1,Motorin(Excellium),4576.6,9327.42,4794.17,4750.82,25.76,2026-03-04 04:00:00
126,2026-03-04 13:39:00,2026-03-04 13:54:00,IST_001,5,Motorin(Excellium),6106.58,15432.71,9382.34,9326.13,22.13,2026-03-04 21:00:00
127,2026-03-04 17:05:00,2026-03-04 17:26:00,IST_001,4,KB 95 Oktan Excellium,4426.2,14070.97,9667.83,9644.77,16.99,2026-03-04 22:30:00
128,2026-03-04 20:03:00,2026-03-04 20:17:00,IST_001,1,Motorin(Excellium),4545.81,17456.31,13025.91,12910.5,25.55,
129,2026-03-05 16:02:00,2026-03-05 16:24:00,IST_001,2,KB 95 Oktan Excellium,,5754.95,4578.22,4524.96,24.69,2026-03-05 22:30:00
130,2026-03-05 20:02:00,2026-03-05 20:20:00,IST_001,5,Motorin(Excellium),7075.99,16372.17,9369.96,9296.18,24.37,2026-03-05 23:30:00
131,2026-03-07 00:08:00,2026-03-07 00:25:00,IST_001,3,Motorin(Excellium),2139.38,6745.68,4645.58,4606.3,25.07,2026-03-07 05:30:00
132,2026-03-07 14:35:00,2026-03-07 14:55:00,IST_001,5,Motorin(Excellium),7363.6,12292.13,4964.64,4928.53,23.66,2026-03-07 21:00:00
133,2026-03-07 17:37:00,2026-03-07 17:53:00,IST_001,1,Motorin(Excellium),2910.27,7687.46,4804.19,4777.19,21.69,2026-03-08 00:00:00
134,2026-03-07 21:10:00,2026-03-07 21:26:00,IST_001,4,KB 95 Oktan Excellium,3928.79,13609.52,9796.17,9680.73,24.82,2026-03-08 00:30:00
135,2026-03-08 16:33:00,2026-03-08 16:53:00,IST_001,1,Motorin(Excellium),3258.77,15467.01,12301.7,12208.24,24.04,2026-03-08 23:00:00
136,2026-03-08 19:33:00,2026-03-08 19:46:00,IST_001,5,Motorin(Excellium),5983.1,18747.48,12799.8,12764.38,18.29,2026-03-09 02:00:00
137,2026-03-09 12:31:00,2026-03-09 12:55:00,IST_001,2,KB 95 Oktan Excellium,1799.84,6007.59,4219.72,4207.75,17.36,2026-03-09 16:00:00
138,2026-03-10 00:08:00,2026-03-10 00:16:00,IST_001,3,Motorin(Excellium),2141.98,8227.74,6136.29,6085.76,24.8,2026-03-10 04:30:00
139,2026-03-10 19:37:00,2026-03-10 19:45:00,IST_001,4,KB 95 Oktan Excellium,4982.81,14282.95,9392.2,9300.14,23.17,2026-03-10 23:00:00
140,2026-03-11 02:32:00,2026-03-11 02:46:00,IST_001,1,Motorin(Excellium),4969.93,17721.39,12777.47,12751.46,17.42,2026-03-11 07:00:00
141,2026-03-11 02:34:00,2026-03-11 02:56:00,IST_001,5,Motorin(Excellium),6311.71,15715.41,9457.07,9403.7,21.72,2026-03-11 08:00:00
142,2026-03-12 18:31:00,2026-03-12 18:46:00,IST_001,5,Motorin(Excellium),7039.2,19969.14,12968.88,12929.94,18.57,
143,2026-03-13 13:00:00,2026-03-13 13:24:00,IST_001,2,KB 95 Oktan Excellium,1760.46,6004.9,4261.18,4244.44,18.27,2026-03-13 14:30:00
144,2026-03-13 20:41:00,2026-03-13 20:58:00,IST_001,1,Motorin(Excellium),4190.59,13434.82,9307.13,9244.23,23.05,2026-03-14 02:00:00
145,2026-03-14 13:08:00,2026-03-14 13:27:00,IST_001,4,KB 95 Oktan Excellium,4143.26,14069.45,9958.28,9926.19,17.69,2026-03-14 16:30:00
146,2026-03-14 17:34:00,2026-03-14 17:51:00,IST_001,3,Motorin(Excellium),,8194.94,6050.0,6005.23,23.81,2026-03-15 01:00:00
147,2026-03-15 13:07:00,2026-03-15 13:27:00,IST_001,5,Motorin(Excellium),5528.52,14792.02,9317.97,9263.5,,2026-03-15 14:30:00
148,2026-03-15 22:08:00,2026-03-15 22:15:00,IST_001,1,Motorin(Excellium),4226.91,14070.99,9870.12,9844.08,,
149,2026-03-17 12:30:00,2026-03-17 12:47:00,IST_001,5,Motorin(Excellium),4180.04,11731.75,7603.94,7551.71,23.18,
150,2026-03-17 16:02:00,2026-03-17 16:22:00,IST_001,2,KB 95 Oktan Excellium,1010.26,5535.76,4584.78,4525.5,25.77,2026-03-17 19:30:00
151,2026-03-17 22:41:00,2026-03-17 22:54:00,IST_001,1,Motorin(Excellium),4165.4,9031.8,4902.73,4866.4,23.82,2026-03-18 06:00:00
152,2026-03-17 23:02:00,2026-03-17 23:23:00,IST_001,4,KB 95 Oktan Excellium,4299.14,14257.88,10055.73,9958.74,23.04,2026-03-18 04:30:00
153,2026-03-18 12:05:00,2026-03-18 12:18:00,IST_001,5,Motorin(Excellium),5848.1,10803.18,4986.0,4955.08,22.38,2026-03-18 18:30:00
154,2026-03-18 17:08:00,2026-03-18 17:27:00,IST_001,3,Motorin(Excellium),2412.14,7118.92,4729.66,4706.78,20.76,2026-03-18 19:30:00
155,2026-03-18 20:06:00,2026-03-18 20:23:00,IST_001,1,Motorin(Excellium),5035.55,17856.57,12926.36,12821.02,24.7,2026-03-18 23:30:00
156,2026-03-19 10:37:00,2026-03-19 10:50:00,IST_001,5,Motorin(Excellium),6375.64,16182.26,9870.4,9806.62,22.69,2026-03-19 18:00:00
157,2026-03-21 14:01:00,2026-03-21 14:23:00,IST_001,4,KB 95 Oktan Excellium,,13826.19,9644.52,9534.68,24.49,2026-03-21 16:30:00
158,2026-03-21 15:11:00,2026-03-21 15:20:00,IST_001,5,Motorin(Excellium),,9019.67,4938.96,4925.07,18.35,2026-03-21 22:30:00
159,2026-03-21 15:32:00,2026-03-21 15:45:00,IST_001,2,KB 95 Oktan Excellium,1148.02,5464.98,4340.23,4316.96,19.47,2026-03-21 19:00:00
160,2026-03-21 20:40:00,2026-03-21 20:58:00,IST_001,1,Motorin(Excellium),4890.41,17731.14,12956.62,12840.73,25.65,2026-03-22 00:00:00
161,2026-03-22 00:38:00,2026-03-22 00:53:00,IST_001,5,Motorin(Excellium),6712.59,16183.81,9546.2,9471.22,24.35,
162,2026-03-22 16:35:00,2026-03-22 16:46:00,IST_001,3,Motorin(Excellium),2088.53,8166.21,6126.21,6077.68,24.43,2026-03-22 18:00:00
163,2026-03-23 13:09:00,2026-03-23 13:27:00,IST_001,5,Motorin(Excellium),7932.13,12598.89,4681.11,4666.76,,2026-03-23 18:30:00
164,2026-03-24 13:33:00,2026-03-24 13:58:00,IST_001,5,Motorin(Excellium),7373.44,19585.1,12296.72,12211.66,23.23,2026-03-24 15:00:00
165,2026-03-24 19:08:00,2026-03-24 19:15:00,IST_001,1,Motorin(Excellium),5426.48,13146.61,7786.78,7720.13,25.19,2026-03-25 02:30:00
166,2026-03-24 20:39:00,2026-03-24 20:52:00,IST_001,4,KB 95 Oktan Excellium,3891.86,8715.35,4844.14,4823.49,18.55,
167,2026-03-25 17:07:00,2026-03-25 17:16:00,IST_001,2,KB 95 Oktan Excellium,755.94,5364.27,4666.72,4608.33,25.43,2026-03-25 23:30:00
168,2026-03-26 11:40:00,2026-03-26 11:57:00,IST_001,1,Motorin(Excellium),4858.39,9852.04,5029.98,4993.65,23.6,2026-03-26 18:00:00
169,2026-03-26 13:09:00,2026-03-26 13:16:00,IST_001,3,Motorin(Excellium),2053.66,6796.16,4758.54,4742.5,19.01,2026-03-26 19:30:00
170,2026-03-26 14:07:00,2026-03-26 14:20:00,IST_001,4,KB 95 Oktan Excellium,3011.73,15344.34,12457.43,12332.61,23.35,2026-03-26 17:30:00
